Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
(b) Opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601," Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) (November 29, 1985) 9815", Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815, Acetyl-alpha-methylfentanyl (N-[1-(1-methyl-2-phenylethyl)-4-piperidinyl]-N-phenylacetamide) 9815
2,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,"Alfentanil (August 24, 1984) 9737","Alfentanil (moved to Schedule II January 23, 1987) 9737",Allylprodine 9602,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601,Acetylmethadol 9601
3,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Allylprodine 9602,Allylprodine 9602,Alphacetylmathadol 9603,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602,Allylprodine 9602
4,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphameprodine 9604,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,Alphacetylmathadol 9603,"Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) (modified August 18, 1993) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603","Alphacetylmathadol (except levo-alphacetylmethadol also know as levo-alpha-actylmethadol, levomethadyl acetate, or LAAM) 9603"
5,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphameprodine 9604,Alphameprodine 9604,Alphamethadol 9605,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604,Alphameprodine 9604
6,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,"Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) (September 22, 1981) 9814",Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alphamethadol 9605,Alphamethadol 9605,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605,Alphamethadol 9605
7,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Benzethidine 9606,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814,Alpha-methylfentanyl (N-[1{alpha-methyl-beta-phenyl)ethyl-4-piperidul] propionanilide; 1-(1-methyl-2-phenylethyl)-4-(N-propanilido) piperidine) 9814
8,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Benzethidine 9606,Benzethidine 9606,Betacetylmethadol 9607,"Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) (November 29, 1985) 9832",Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide)  9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide)  9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832,Alpha-methylthiofentanyl (N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9832
9,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betacetylmethadol 9607,Betacetylmethadol 9607,Betameprodine 9608,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606,Benzethidine 9606
