Controlled Substances Schedule I,1970,1971,,1972,1973,,1974,Controlled Substances Schedule II,1975,1976,,1977,1978,1979,,1980,1981,1982,1983,1984,1985,,1986,,1987,1988,1989,1990,1991,1992,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Substances, vegetable origin or chemical synthesis.  Unless specifically excepted or unless listed in another schedule, any of the following substances whether produced directly or indirectly by extraction from substances of vegetable origin, or independently by means of chemical synthesis, or by a combination of extraction and chemical synethsis: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate including:",Raw opium (9600),Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding naloxone hydrochloride (Sept. 29, 1971), but including:",Raw opium (9600),Raw opium (9600),,Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding naloxone and its salts, and excluding naltrexone and its salts (Mar. 6, 1975), but including the following:",Raw opium (9600),Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding apomorphine (June 28, 1976), dextrorphan, nalbuphine (Oct. 1, 1976), naloxone, and naltrexone, and their respective salts, but including the following:",Raw opium (9600),Raw opium (9600),Raw opium (9600),,Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding apomorphine, dextrorphan, nalbuphine, nalmefene (Nov. 4, 1985), naloxone, and naltrexone,  and their respective salts, but including the following:",Raw opium (9600),,Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding apomorphine, thebaine-derived butorphanol (July 14, 1992), dextrorphan, nalbuphine, nalmefene, naloxone, and naltrexone,  and their respective salts, but including the following:",Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),Raw opium (9600),"     (1)Opium and opiate, and any salt, compound, derivative, or preparation of opium or opiate, excluding apomorphine, thebaine-derived butorphanol, dextrorphan, nalbuphine, nalmefene, naloxegel (Jan. 23, 2015), naloxone, and naltrexone,  and their respective salts, but including the following:",Raw opium (9600),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oripavine (9330) (Sept. 24, 2007)",Oripavine (9330),Oripavine (9330),Oripavine (9330),Oripavine (9330),Oripavine (9330),Oripavine (9330),,Oripavine (9330),
,Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),Opium extracts (9610),,Opium extracts (9610),
,Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),Opium fluid extracts (9620),,Opium fluid extracts (9620),
,Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),Powdered opium (9639),,Powdered opium (9639),
,Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),Granulated opium (9640),,Granulated opium (9640),
,Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),Tincture of opium (9630),,Tincture of opium (9630),
,Apomorphine (9030),Apomorphine (9030),,Apomorphine (9030),Apomorphine (9030),,Apomorphine (9030),,Apomorphine (9030),"Apomorphine (9030) (June 28, 1976)",,Codeine (9059),Codeine (9059),Codeine (9059),,Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),,Codeine (9059),,Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),,Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),Codeine (9059),,Codeine (9059),
