Controlled Substances Schedule IV,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),"Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit; moved from Schedule I to IV, Effective 9/27/1978",Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit,Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167),Not more than 1 milligram of difenoxin (DEA Drug Code No. 9618) and not less than 25 micrograms of atropine sulfate per dosage unit (9167)
,Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Barbital (2145),Barbital (2145),"Dextropropoxyphene (alpha-(+)=4-dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273) ","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9273)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)","Dextropropoxyphene (alpha-(+)=4=dimethylamino-1,2-diphenyl-3-methyl-2-propionoxybutane)  (9278)"
,Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral betaine (2460),Chloral betaine (2460),Barbital (2145),Alprazolam (2882) Effective 11/12/1981,Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alprazolam (2882),Alfaxalone (2731) Effective 3/31/2014,"2-[(dimethylamino)methyl]1-(3-methoxyphenyl)cyclohexanol, its salts, optical and geometric isomers and salts of these isomers (including tramadol) (9752) Effective Aug. 8, 2014"
,Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Chlordiazepoxide (2744) Effective 7/2/1975,Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chloral hydrate (2465),Chloral hydrate (2465),Chloral betaine (2460),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Barbital (2145),Alprazolam (2882),Alfaxalone (2731) 
,Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Clonazepam (2737) Effective 7/2/1975,Clonazepam (2737),Clonazepam (2737),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chloral hydrate (2465),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Bromazepam (2748) Effective 11/5/1984,Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Bromazepam (2748),Barbital (2145),Alprazolam (2882)
,Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Mebutamate (2800) Effective 1/30/1975,Clorazepate (2768) Effective 7/2/1975,Clorazepate (2768),Clorazepate (2768),Clonazepam (2737),Clonazepam (2737),Chlordiazepoxide (2744),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Camazepam (2749) Effective 11/5/1984,Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Camazepam (2749),Bromazepam (2748),Barbital (2145)
,Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Diazepam (2765) Effective 7/2/1975,Diazepam (2765),Diazepam (2765),Clorazepate (2768),Clorazepate (2768),Clonazepam (2737),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Chloral betaine (2460),Carisoprodol (8192) Effective 1/11/2012,Carisoprodol (8192),Camazepam (2749),Bromazepam (2748)
,Methylphenobarbital (2250),Methylphenobarbital (2250),Methylphenobarbital (2250),Methylphenobarbital (2250),Methylphenobarbital (2250),Methohexital (2264),Ethchlorvynol (2540),Ethchlorvynol (2540),Ethchlorvynol (2540),Diazepam (2765),Diazepam (2765),Clorazepate (2768),Clonazepam (2737),Clonazepam (2737),Clonazepam (2737),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral hydrate (2465),Chloral betaine (2460),Chloral betaine (2460),Carisoprodol (8192),Camazepam (2749)
,Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Methylphenobarbital (2250),Ethinamate (2545),Ethinamate (2545),Ethinamate (2545),Ethchlorvynol (2540),Ethchlorvynol (2540),Diazepam (2765),Clorazepate (2768),Clorazepate (2768),Clorazepate (2768),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chlordiazepoxide (2744),Chloral hydrate (2465),Chloral hydrate (2465),Chloral betaine (2460),Carisoprodol (8192)
