Controlled Substances Schedule V,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"(b) Narcotic drugs containing non-narcotic active medicinal ingrediants.  Any compound, mixture, or preparation containing any of the following limited quantities of narcotic drugs or salts thereof, which shall include one or more nonnarcotic sufficient proportion to confer upong the compound, mixture, or preparation valuable medicinal qualities other than those possessed by the narcotic drug alone:",Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,Not more than 200 milligrams of codeine per 100 milliliters or per 100 grams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of dihydrocodeine per 100 milliliters or per 100 grams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,Not more than 100 milligrams of ethylmorphine per 100 milliliters or per 100 grams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 2.5 milligrams of diphenoxylate and not less than 25 micrograms of atropine sulfate per dosage unit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,Not more than 100 milligrams of opium per 100 milliliters or per 100 grams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit (Sept. 27, 1978)",Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit.,Not more than 0.5 milligram of difenoxin (9618) and not less than 25 micrograms of atropine sulfate per dosage unit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Loperamide (8125) (June 17, 1977)",,,,,,,,,"Loperamide (8125) (June 17, 1977)",Loperamide (8125),Loperamide (8125),Loperamide (8125),"Loperamide (8125) (Nov. 3, 1982)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) Depressants.  Unless specifically exempted or excluded or unless listed in another schedule, any material, compound, mixture, or preparation which contains any quantity of the following substances having a depressant effect on the central nervouse system, including its salts:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pregablin (2782) (July 28, 2005)",Pregablin (2782),Pregablin (2782),Pregablin (2782),"Lacosamide (2746) (Jun. 22, 2009)",Lacosamide (2746),"Ezogabine (2779) (Dec. 15, 2011)",Ezogabine (2779),Ezogabine (2779),Ezogabine (2779)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacosamide (2746),Lacosamide (2746),Lacosamide (2746),Lacosamide (2746)
